Time,Type,Location,Content
1648825120,Highlight,894,"“What’s amazing is that in a 90-minute nap, you can get the same [learning] benefits as an eight-hour sleep period,” the researcher says."
1648866096,Highlight,962,It’s not the noticing itself that’s hard. It’s ignoring all the noise in our environment that is hard.
1648959498,Highlight,1010,The first type of response is what they call “turning toward.”
1648959570,Highlight,1014,The second kind of response is “turning against.”
1648959599,Highlight,1018,The third kind of response is “turning away.”
1648959630,Highlight,1021,"According to Gottman’s research, both of the first two responses—even the argumentative one—are generally healthy for a relationship. The one that does the most damage is the third kind."
1648959748,Highlight,1025,"We don’t need to agree with the other person on everything. But we do need to be present with them, to really notice them, to give them our full attention—maybe not always, but as frequently as we can."
1648959925,Highlight,1041,"When we’re fully present with people, it has an impact."
1648960098,Highlight,1054,"make it harder for people to gain clarity, for two reasons. First, when people fear being judged, it drowns out their inner voice."
1648960133,Highlight,1056,"Second, the moment our judgments and opinions are voiced, they compete for the limited mental space others need to draw their own conclusions."
1648960289,Highlight,1070,"But in the Effortless State, it becomes far easier to give the gift of our intentional focus to the people and things we really care about."
1648960293,Highlight,1072,1:  Prepare Your Space (two minutes)
1648960310,Highlight,1072,1:  Prepare Your Space (two minutes)
1648960315,Highlight,1075,2:  Rest Your Body (two minutes)
1648960343,Highlight,1077,3:  Relax Your Mind (two minutes)
1648960352,Highlight,1079,4:  Release Your Heart (two minutes)
1648960371,Highlight,1081,5:  Breathe in Gratitude (two minutes)
1648960748,Highlight,1123,"Past a certain point, more effort doesn’t produce better performance. It sabotages our performance."
1648981460,Highlight,1176,"If you want to make something hard, indeed truly impossible, to complete, all you have to do is make the end goal as vague as possible."
1648996821,Highlight,1187,I define “done” as the point just before the effort invested begins to be greater than the output achieved.
1648997214,Highlight,1219,"As you write the list, one test is to imagine how you will feel once this work is completed. Ask yourself, “If I complete everything on this list, will it leave me feeling satisfied by the end of the day? Is there some other important task that will haunt me all night if I don’t get to it?” If your answer to the second question is yes, that is a task that should go on the Done for the Day list."
1648997597,Highlight,1264,"But once we break that step down into concrete, physical actions, that first obvious action begins to feel effortless."
1648997873,Highlight,1298,we can opt for taking the minimum viable first action: the action that will allow us to gain the maximum learning from the least amount of effort.
1648998047,Highlight,1316,In recent years neuroscientists and psychologists have found that the “now” we experience lasts only 2.5 seconds. This is our psychological present.
1648998136,Highlight,1326,Looking at that first step or action through the lens of 2.5 seconds is the change that makes every other change possible. It is the habit of habits.
1649071505,Highlight,1354,"No matter how simple the step, it’s still easier to take no step."
1649071827,Highlight,1379,"To be clear, identifying the minimum"
1649071842,Highlight,1379,number of steps is not the same as “phoning it in” or producing something you are not proud of.
1649083216,Highlight,1389,Being asked to do X isn’t a good enough reason to do Y.
1649083546,Highlight,1413,He started at zero and tried to figure out the absolute minimum number of steps required to achieve the desired outcome.
1649084162,Highlight,1487,"don’t try to get everything exactly right the first time. Instead, embrace the rubbish “no matter how ugly it is” so you can crash, repair, modify, and redesign fast."
1649084466,Highlight,1507,"The faster they make those mistakes, the faster they will progress."
1649176028,Highlight,1510,There is no mastery without mistakes. And there is no learning later without the courage to be rubbish.
1649176105,Highlight,1516,That was in fact my goal: to get them wrong as quickly as possible so I could see the correct answers. I didn’t want to waste time and energy on what I already knew; I wanted to see what I didn’t know so I could focus only on that.
1649176135,Highlight,1519,Make Failure as Cheap as Possible
1649176342,Highlight,1529,That’s because he got to learn from his mistakes while the risks were lower.
1649176592,Highlight,1538,Protect Your Rubbish from the Harsh Critic in Your Head
1649176725,Highlight,1555,Even rubbish words are more powerful than a blank page.
1649176770,Highlight,1559,"By embracing imperfection, by having the courage to be rubbish, we can begin. And once we begin, we become a little less rubbish, and then a little less. And eventually, out of the rubbish come exceptional, effortless breakthroughs in the things that matter."
1649207830,Highlight,1608,The problem is that going too fast at the beginning will almost always slow us down the rest of the way.
1649207923,Highlight,1622,"Holding back when you still have steam in you might seem like a counterintuitive approach to getting important things done, but in fact, this kind of restraint is key to breakthrough productivity."
1649208179,Highlight,1658,"When you go slow, things are smoother. You have time to observe, to plan, to coordinate efforts."
1649208190,Highlight,1658,But go too slow and you may get stuck or lose your momentum.
1649208459,Highlight,1665,"Simply use the following rule: Never less than X, never more than Y."
1649243978,Highlight,1769,
1649244307,Highlight,1794,Lever: Learning
1649244313,Highlight,1799,Lever: Teaching
1649244318,Highlight,1804,Lever: Automating
1649244325,Highlight,1810,Lever: Trusting
1649244331,Highlight,1816,Lever: Preventing
1649244360,Highlight,1821,"Depending on which lever you push, an equally modest amount of effort can also produce amazingly bad residual results."
1649244606,Highlight,1841,"Principles, however, can be applied broadly and repeatedly."
1649244866,Highlight,1872,"The commonality was a principle that he dubbed “mirrored reciprocation,” or, in simpler terms, “You get what you give.”"
1649245135,Highlight,1892,"“It is important to view knowledge as sort of a semantic tree—make sure you understand the fundamental principles, i.e. the trunk and big branches, before you get into the leaves/details or there is nothing for them to hang on to.”"
1649245382,Highlight,1903,"He is living proof that by understanding things at their most fundamental level, we can apply them in new and surprising ways."
1649245619,Highlight,1915,"He believes that by combining learnings from a range of disciplines—psychology, history, mathematics, physics, philosophy, biology, and more—we produce something that is greater than the sum of its parts."
1649258912,Highlight,1922,the best new ideas usually come from combining existing knowledge in one field with an “intrusion of unusual combinations” from other disciplines.
1649259036,Highlight,1938,The typical American reads (or partially reads) only four books a year. More than a quarter of Americans don’t read books at all.
1649259130,Highlight,1948,"If you summarize the key learnings from a book you just read, you absorb it more deeply."
1649259353,Highlight,1975,Being good at what nobody is doing is better than being great at what everyone is doing. But being an expert in something nobody is doing is exponentially more valuable.
1649259507,Highlight,1983,"In other words, once you develop a reputation for knowing what no one else knows, opportunities flow to you for years."
1649259908,Highlight,2022,There is no better way to teach than through the power of stories.
1649260213,Highlight,2049,"If you try to teach people everything about everything, you run the risk of teaching them nothing. You will achieve residual results faster if you clearly identify—then simplify—the most important messages you want to teach others to teach. These messages should be not just easy to understand but also hard to misunderstand."
1649294091,Highlight,2085,The staggering volume and complexity of know-how has exceeded experts’ ability to manage it. And this is exactly why tragic accidents happen.
1649294430,Highlight,2095,"What we need, Gawande argues, is a modest but marvelous tool: the checklist."
1649294453,Highlight,2101,The beauty of the checklist is that the thinking has been done ahead of time. It’s been taken out of the equation.
1649294634,Highlight,2121,Making decisions is mentally draining.
1649328809,Highlight,2227,"When you have low trust on teams, everything is hard."
1649329101,Highlight,2257,"Warren Buffett uses three criteria for determining who is trustworthy enough to hire or to do business with. He looks for people with integrity, intelligence, and initiative, though he adds that without the first, the other two can backfire."
1649329651,Highlight,2281,"There are three parties to every relationship: Person A, Person B, and the structure that governs them."
1649330056,Highlight,2314,"High-Trust Agreement Results: What results do we want? Roles: Who is doing what? Rules: What minimum viable standards must be kept? Resources: What resources (people, money, tools) are available and needed? Rewards: How will progress be evaluated and rewarded?"
1649330460,Highlight,2348,"This is what I call the long tail of time management. When we invest our time in actions with a long tail, we continue to reap the benefits over a long period."
1649330536,Highlight,2353,"To break this habit, ask yourself: What is a problem that irritates me repeatedly? What is the total cost of managing that over several years? What is the next step I can take immediately, in a few minutes, to move toward solving it?"
1649344149,Highlight,2580,"In each moment, we have a choice: Do I choose the heavier or the lighter path?"
1649344489,Highlight,3325,"He would evaluate requests based on the timid criteria, “Can I actually fulfill this request, given the time and resources I have?” If the answer was no then he would refuse the request."
1649344501,Highlight,3328,"Now when a request would come in he would pause and evaluate the request against a tougher criteria: “Is this the very most important thing I should be doing with my time and resources right now?” If he couldn’t answer a definitive yes, then he would refuse the request."
1649344958,Highlight,3372,Essentialism is not about how to get more things done; it’s about how to get the right things done.
1649345329,Highlight,3430,"If you don’t prioritize your life, someone else will."
1648353834,Note,127,Writer's first book
1648605482,Note,546,"It is similar to the things that Atomic Habits said. If we do A and A is connected to B, we can then do A and B without efforts."
1648605566,Note,546,"It is similar to the things that Atomic Habits said. If we do A and A is connected to B, we can then do A and B without efforts. But this time, we link a fun thing A with a not-so-fun B together."
1648385439,Bookmark,230
1648386292,Bookmark,255
1648604611,Bookmark,498
1648740462,Bookmark,820
1648825262,Bookmark,904
1648960460,Bookmark,1085
1648996951,Bookmark,1199
1649208622,Bookmark,1687
1649342874,Bookmark,2484
1649345091,Bookmark,3388
